idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn,birthdate
AFG,Najibullah,AFG_1986_1,8243611b-1e42-11e4-b4cd-db5882bf8def,1986-05-04,1992-04-16,Irregular,Irregular,M,1947,1947-08-06
AFG,Burhanuddin Rabbani,AFG_1992_2,8243611d-1e42-11e4-b4cd-db5882bf8def,1992-06-28,1996-09-27,Regular,Irregular,M,1939,NA
AFG,Mullah Omar,AFG_1996_1,8243611e-1e42-11e4-b4cd-db5882bf8def,1996-09-27,2001-11-13,Irregular,Irregular,M,1959,NA
AFG,Hamid Karzai,AFG_2001_1,8243611f-1e42-11e4-b4cd-db5882bf8def,2001-12-22,2014-09-29,Foreign Imposition,Regular,M,1957,1957-12-24
AFG,Ashraf Ghani Ahmadzai,AFG_2014_1,14a038b0-aae0-11e4-b3bc-29f2fa19767e,2014-09-29,2021-08-14,Regular,Irregular,M,1949,1949-05-19
AFG,Hibatullah Akhundzada,AFG_2021_1,.,2021-08-14,2024-06-30,Irregular,Still in Office,M,NA,NA
ALB,Alia,ALB_1985_1,821a8f09-1e42-11e4-b4cd-db5882bf8def,1985-04-13,1992-04-03,Regular,Regular,M,1925,1925-10-18
ALB,Berisha,ALB_1992_1,35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,1992-04-09,1997-07-24,Regular,Regular,M,1944,1944-10-15
ALB,Fatos Nano,ALB_1997_1,821abfda-1e42-11e4-b4cd-db5882bf8def,1997-07-24,1998-10-02,Regular,Regular,M,1952,1952-09-16
ALB,Majko,ALB_1998_1,821abfdb-1e42-11e4-b4cd-db5882bf8def,1998-10-02,1999-10-29,Regular,Regular,M,1967,1967-11-15
ALB,Meta,ALB_1999_1,821abfdc-1e42-11e4-b4cd-db5882bf8def,1999-10-29,2002-02-22,Regular,Regular,M,1969,NA
ALB,Fatos Nano,ALB_2002_2,821abfda-1e42-11e4-b4cd-db5882bf8def,2002-07-31,2005-09-11,Regular,Regular,M,1952,1952-09-16
ALB,Berisha,ALB_2005_1,35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2005-09-11,2013-09-15,Regular,Regular,M,1944,1944-10-15
ALB,Rama,ALB_2013_1,149e63e7-aae0-11e4-b3bc-29f2fa19767e,2013-09-15,2024-06-30,Regular,Still in Office,M,1964,1964-07-04
ALG,Benjedid,ALG_1979_1,823bf0a6-1e42-11e4-b4cd-db5882bf8def,1979-02-07,1992-01-11,Regular,Irregular,M,1929,1929-04-14
ALG,Kafi,ALG_1992_2,823bf0a8-1e42-11e4-b4cd-db5882bf8def,1992-07-02,1994-01-31,Regular,Regular,M,1928,NA
ALG,Zeroual,ALG_1994_1,823bf0a9-1e42-11e4-b4cd-db5882bf8def,1994-01-31,1999-04-27,Regular,Regular,M,1941,NA
ALG,Bouteflika,ALG_1999_1,823bf0aa-1e42-11e4-b4cd-db5882bf8def,1999-04-27,2019-04-02,Regular,Irregular,M,1937,1937-03-02
ALG,Abdelmadjid Tebboune,ALG_2019_2,.,2019-12-19,2024-06-30,Regular,Still in Office,M,1945,1945-11-17
ANG,Dos Santos,ANG_1979_1,8233edb6-1e42-11e4-b4cd-db5882bf8def,1979-09-10,2017-09-25,Regular,Regular,M,1942,1942-08-28
ANG,Joao Lourenco,ANG_2017_1,.,2017-09-25,2024-06-30,Regular,Still in Office,M,1954,1954-03-05
ARG,Menem,ARG_1989_1,82046e88-1e42-11e4-b4cd-db5882bf8def,1989-07-08,1999-12-10,Regular,Regular,M,1930,1930-07-02
ARG,de la Rua,ARG_1999_1,82046e89-1e42-11e4-b4cd-db5882bf8def,1999-12-10,2001-12-21,Regular,Regular,M,1937,1937-09-15
ARG,Eduardo Duhalde,ARG_2002_1,82049f5d-1e42-11e4-b4cd-db5882bf8def,2002-01-02,2003-05-25,Regular,Regular,M,1941,1941-10-05
ARG,Nestor Kirchner,ARG_2003_1,82049f5e-1e42-11e4-b4cd-db5882bf8def,2003-05-25,2007-12-10,Regular,Regular,M,1950,NA
ARG,Fernandez de Kirchner,ARG_2007_1,8250bb5e-1e42-11e4-b4cd-db5882bf8def,2007-12-10,2015-12-10,Regular,Regular,F,1953,1953-02-19
ARG,Mauricio Macri,ARG_2015_1,43f5aea2-de6a-11e5-ba44-bb6d7c1a9a58,2015-12-10,2019-12-10,Regular,Regular,M,1959,1959-02-08
ARG,Alberto Fernandez,ARG_2019_1,.,2019-12-10,2023-12-10,Regular,Regular,M,1959,1959-04-02
ARM,Ter-Petrosyan,ARM_1991_1,82235551-1e42-11e4-b4cd-db5882bf8def,1991-10-16,1998-02-03,Regular,Regular,M,1945,NA
ARM,Kocharian,ARM_1998_1,82235552-1e42-11e4-b4cd-db5882bf8def,1998-02-04,2008-04-09,Regular,Regular,M,1954,1954-08-31
ARM,Sargsyan,ARM_2008_1,82530552-1e42-11e4-b4cd-db5882bf8def,2008-04-09,2018-04-09,Regular,Regular,M,1954,1954-06-30
ARM,Armen Sarkissian,ARM_2018_1,.,2018-04-09,2022-02-01,Regular,Regular,M,1953,1953-06-23
ARM,Vahagn Khachaturyan,ARM_2022_2,.,2022-03-13,2024-06-30,Regular,Still in Office,M,1959,1959-04-22
AUL,Hawke,AUL_1983_1,824e4085-1e42-11e4-b4cd-db5882bf8def,1983-03-11,1991-12-19,Regular,Regular,M,1929,1929-12-09
AUL,Keating,AUL_1991_1,824e4086-1e42-11e4-b4cd-db5882bf8def,1991-12-19,1996-03-11,Regular,Regular,M,1945,1945-01-18
AUL,Howard,AUL_1996_1,824e715e-1e42-11e4-b4cd-db5882bf8def,1996-03-11,2007-12-03,Regular,Regular,M,1939,1939-07-26
AUL,Rudd,AUL_2007_1,8255e1cb-1e42-11e4-b4cd-db5882bf8def,2007-12-03,2010-06-24,Regular,Regular,M,1957,1957-09-21
AUL,Gillard,AUL_2010_1,8255e1cc-1e42-11e4-b4cd-db5882bf8def,2010-06-24,2013-06-27,Regular,Regular,F,1961,1961-09-29
AUL,Abbott,AUL_2013_2,2b3ec881-3481-11e4-8dba-bbcd9ed46413,2013-09-18,2015-09-15,Regular,Regular,M,1957,1957-11-04
AUL,Malcolm Turnbull,AUL_2015_1,43fcd2be-de6a-11e5-ba44-bb6d7c1a9a58,2015-09-15,2018-08-24,Regular,Regular,M,1954,1954-10-24
AUL,Scott Morrison,AUL_2018_1,.,2018-08-24,2022-05-22,Regular,Regular,M,1968,1968-05-13
AUL,Anthony Norman Albanese,AUL_2022_1,.,2022-05-22,2024-06-30,Regular,Still in Office,M,1963,1963-03-02
AUS,Vranitzky,AUS_1986_1,8216ef36-1e42-11e4-b4cd-db5882bf8def,1986-06-16,1997-01-28,Regular,Regular,M,1937,1937-10-04
AUS,Klima,AUS_1997_1,8216ef37-1e42-11e4-b4cd-db5882bf8def,1997-01-28,2000-02-04,Regular,Regular,M,1947,1947-06-04
AUS,Schussel,AUS_2000_1,8216ef38-1e42-11e4-b4cd-db5882bf8def,2000-02-05,2007-01-11,Regular,Regular,M,1945,1945-06-07
AUS,Gusenbauer,AUS_2007_1,8251af7d-1e42-11e4-b4cd-db5882bf8def,2007-01-11,2008-12-02,Regular,Regular,M,1960,NA
AUS,Faymann,AUS_2008_1,8251af7e-1e42-11e4-b4cd-db5882bf8def,2008-12-02,2016-05-09,Regular,Regular,M,1960,1960-05-04
AUS,Kern,AUS_2016_2,.,2016-05-17,2017-12-18,Regular,Regular,M,1966,1966-01-04
AUS,Kurz,AUS_2017_1,.,2017-12-18,2019-05-28,Regular,Regular,M,1986,1986-08-27
AUS,Kurz,AUS_2020_1,.,2020-01-07,2021-12-06,Regular,Regular,M,1986,1986-08-27
AUS,Nehammer,AUS_2021_2,.,2021-12-06,2024-06-30,Regular,Still in Office,M,1972,1972-10-18
AZE,Abulfaz Elchibey,AZE_1992_4,8223e7cc-1e42-11e4-b4cd-db5882bf8def,1992-06-16,1993-06-18,Irregular,Irregular,M,1938,1938-06-07
AZE,H. Aliyev,AZE_1993_1,8223e7cd-1e42-11e4-b4cd-db5882bf8def,1993-06-24,2003-08-04,Regular,Retired Due to Ill Health,M,1923,1923-05-10
AZE,Ilhma Aliyev,AZE_2003_1,8223e7ce-1e42-11e4-b4cd-db5882bf8def,2003-08-04,2024-06-30,Regular,Still in Office,M,1961,1961-12-24
BAH,Isa Ibn Al-Khalifah,BAH_1971_1,82423c1a-1e42-11e4-b4cd-db5882bf8def,1971-08-15,1999-03-06,Regular,Natural Death,M,1933,1933-07-03
BAH,Hamad Isa Ibn Al-Khalifah,BAH_1999_1,82423c1b-1e42-11e4-b4cd-db5882bf8def,1999-03-06,2024-06-30,Regular,Still in Office,M,1950,1950-01-28
BAR,Sandiford,BAR_1987_1,81e39f6e-1e42-11e4-b4cd-db5882bf8def,1987-06-01,1994-09-07,Regular,Regular,M,1937,1937-03-24
BAR,Arthur,BAR_1994_1,81e39f6f-1e42-11e4-b4cd-db5882bf8def,1994-09-07,2008-01-16,Regular,Regular,M,1949,NA
BAR,Thompson,BAR_2008_1,825028d5-1e42-11e4-b4cd-db5882bf8def,2008-01-16,2010-10-23,Regular,Natural Death,M,1961,NA
BAR,Stuart,BAR_2010_1,825028d6-1e42-11e4-b4cd-db5882bf8def,2010-10-23,2018-05-25,Regular,Regular,M,1951,1951-04-27
