idacr,adm0,leader,startdate
AFG,Afghanistan,Hibatullah Akhundzada,14aug2021
ALB,Albania,Rama,15sep2013
ALG,Algeria,Abdelmadjid Tebboune,19dec2019
ANG,Angola,Joao Lourenco,25sep2017
ARG,Argentina,Javier Milei,10dec2023
ARM,Armenia,Vahagn Khachaturyan,13mar2022
AUL,Australia,Anthony Norman Albanese,22may2022
AUS,Austria,Nehammer,06dec2021
AZE,Azerbaijan,Ilhma Aliyev,04aug2003
BAH,Bahrain,Hamad Isa Ibn Al-Khalifah,06mar1999
BAR,Barbados,Mottley,25may2018
BEL,Belgium,Alexander De Croo,01oct2020
BEN,Benin,Patrice Talon,06apr2016
BFO,Burkina Faso,Ibrahim Traore,30sep2022
BHM,Bahamas,Philip Brave Davis,17sep2021
BHU,Bhutan,Lotay Tshering,07nov2018
BLR,Belarus,Lukashenko,20jul1994
BLZ,Belize,Juan Briceno,12nov2020
BNG,Bangladesh,Hasina Wazed,06jan2009
BOL,Bolivia,Luis Arce,08nov2020
BOS,Bosnia and Herzegovina,Zeljko Komsic,16jul2023
BOT,Botswana,Mokgweetsi Masisi,31mar2018
BRA,Brazil,Lula da Silva,31dec2022
BRU,Brunei,Hassanal Bolkiah,04oct1967
BUI,Burundi,Evariste Ndayishiyme,18jun2020
BUL,Bulgaria,Nikolai Denkov,06jun2023
CAM,Cambodia,Hun Manet,22aug2023
CAN,Canada,Justin Trudeau,04nov2015
CAO,Cameroon,Biya,06nov1982
CAP,Cape Verde,Correia e Silva,22apr2016
CDI,Côte d'Ivoire,Ouattara,11apr2011
CEN,Central African Republic,Touadéra,30mar2016
CHA,Chad,Mahamat Déby,20apr2021
CHL,Chile,Gabriel Boric,11mar2022
CHN,China,Xi Jinping,15nov2012
COL,Colombia,Gustavo Petro,07aug2022
COM,Comoros,Azali Assoumani,26may2019
CON,Republic of Congo,Nguesso,15oct1997
COS,Costa Rica,Rodrigo Chaves Robles,08may2022
CRO,Croatia,Zoran Milanovic,18feb2020
CUB,Cuba,Díaz-Canel,10oct2019
CYP,Cyprus,Nikos Christodoulides,28feb2023
CZR,Czech Republic,Fiala,17dec2021
DEN,Denmark,Mette Frederiksen,27jun2019
DJI,Ethiopia,Guelleh,08may1999
DOM,Dominican Republic,Luis Abinader,16aug2020
DRC,Democratic Republic of the Congo,Felix Tshisekedi,24jan2019
DRV,Vietnam,Phu Trong,19jan2011
ECU,United States,Daniel Noboa,23nov2023
EGY,Egypt,al-Sisi,08jun2014
EQG,Equatorial Guinea,Nguema Mbasogo,03aug1979
ERI,Eritrea,Afeworki,24may1993
EST,Estonia,Kaja Kallas,26jan2021
ETH,Ethiopia,Abiy Ahmed,02apr2018
ETM,Timor-Leste,Jose Manuel Ramos-Horta,20may2022
FIN,Finland,Sauli Niinistö,01mar2012
FJI,Fiji,Sitiveni Rabuka,24dec2022
FRN,France,Macron,14may2017
GAB,Gabon,Brice Oligui,30aug2023
GAM,Gambia,Adama Barrow,19jan2017
GFR,Germany,Scholz,08dec2021
GHA,Ghana,Nana Akufo-Addo,07jan2017
GNB,Guinea-Bissau,Umaro Cissoko Embalo,27feb2020
GRC,Greece,Kyriakos Mitsotakis,26jun2023
GRG,France,Zourabichvili,16dec2018
GUA,Guatemala,Alejandro Giammattei,14jan2020
GUI,Guinea,Mamady Doumbouya,05sep2021
GUY,Guyana,Irfaan Ali,02aug2020
HAI,.,Ariel Henry,20jul2022
HON,Honduras,Iris Xiomara Castro Sarmiento,27jan2022
HUN,Hungary,Orban,29may2010
ICE,Iceland,Jakobsdottir,30nov2017
IND,India,Narendra Modi,26may2014
INS,Indonesia,Joko Widodo,20oct2014
IRE,Ireland,Leo Varadkar,17dec2022
IRN,Iran,Ebrahim Raisi,03aug2021
IRQ,Iraq,Mohammed Shia' Al Sudani,27oct2022
ISR,Israel,Netanyahu,29dec2022
ITA,Italy,Giorgia Meloni,22oct2022
JAM,Jamaica,Andrew Holness,03mar2016
JOR,Jordan,Abdullah Ibn Hussein El-Hashimi,07feb1999
JPN,Japan,Fumio Kishida,04oct2021
KEN,Kenya,William Samoei Ruto,13sep2022
KOS,Kosovo,Albin Kurti,22mar2021
KUW,Kuwait,Sheikh Mishal Al-Ahmad Al Jaber Al Sabeh,16dec2023
KYR,Kyrgyzstan,Sadyr Japarov,28jan2021
KZK,Kazakhstan,Kassy-Jomart Tokayev,20mar2019
LAO,Laos,Thongloun Sisoulith,22mar2021
LAT,Latvia,Evikia Silina,15dec2023
LBR,Liberia,Weah,22jan2018
