"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"1",2,1950,0,0,0,0
"2",20,1950,0,0,0,0
"3",40,1950,0,0,0,0
"4",41,1950,2,0,0,0
"5",42,1950,0,0,0,0
"6",70,1950,0,0,0,0
"7",90,1950,0,0,0,0
"8",91,1950,0,0,0,0
"9",92,1950,0,0,0,0
"10",93,1950,0,0,0,0
"11",94,1950,0,0,0,0
"12",95,1950,0,0,0,0
"13",100,1950,0,0,0,0
"14",101,1950,0,0,0,0
"15",130,1950,0,0,0,0
"16",135,1950,0,0,0,0
"17",140,1950,0,0,0,0
"18",145,1950,1,0,0,0
"19",150,1950,0,0,0,0
"20",155,1950,0,0,0,0
"21",160,1950,0,0,0,0
"22",165,1950,0,0,0,0
"23",200,1950,0,0,0,0
"24",205,1950,0,0,0,0
"25",210,1950,0,0,0,0
"26",211,1950,0,0,0,0
"27",212,1950,0,0,0,0
"28",220,1950,0,0,0,0
"29",221,1950,0,0,0,0
"30",223,1950,0,0,0,0
"31",225,1950,0,0,0,0
"32",230,1950,0,0,0,0
"33",232,1950,0,0,0,0
"34",235,1950,0,0,0,0
"35",260,1950,0,0,0,0
"36",265,1950,0,0,0,0
"37",290,1950,0,0,0,0
"38",305,1950,0,0,0,0
"39",310,1950,0,0,0,0
"40",315,1950,0,0,0,0
"41",325,1950,0,0,0,0
"42",331,1950,0,0,0,0
"43",339,1950,0,0,0,0
"44",345,1950,0,0,0,0
"45",350,1950,0,0,0,0
"46",355,1950,0,0,0,0
"47",360,1950,0,0,0,0
"48",365,1950,0,0,0,0
"49",375,1950,0,0,0,0
"50",380,1950,0,0,0,0
"51",385,1950,0,0,0,0
"52",390,1950,0,0,0,0
"53",395,1950,0,0,0,0
"54",450,1950,0,0,0,0
"55",530,1950,0,0,0,0
"56",560,1950,0,0,0,0
"57",630,1950,0,0,0,0
"58",640,1950,0,0,0,0
"59",645,1950,0,0,0,0
"60",651,1950,0,0,0,0
"61",652,1950,0,0,0,0
"62",660,1950,0,0,0,0
"63",663,1950,0,0,0,0
"64",666,1950,0,0,0,0
"65",670,1950,0,0,0,0
"66",678,1950,0,0,0,0
"67",698,1950,0,0,0,0
"68",700,1950,0,0,0,0
"69",710,1950,0,0,0,0
"70",711,1950,0,0,0,0
"71",712,1950,0,0,0,0
"72",713,1950,0,0,0,0
"73",731,1950,0,0,0,0
"74",732,1950,0,0,0,0
"75",740,1950,0,0,0,0
"76",750,1950,0,0,0,0
"77",760,1950,0,0,0,0
"78",770,1950,0,0,0,0
"79",775,1950,0,0,0,0
"80",780,1950,0,0,0,0
"81",790,1950,0,0,0,0
"82",800,1950,0,0,0,0
"83",840,1950,0,0,0,0
"84",850,1950,0,0,0,0
"85",900,1950,0,0,0,0
"86",920,1950,0,0,0,0
"87",2,1951,0,0,1,0
"88",20,1951,0,0,1,0
"89",40,1951,0,0,1,0
"90",41,1951,0,1,1,1
"91",42,1951,0,0,1,0
"92",70,1951,0,0,1,0
"93",90,1951,0,0,1,0
"94",91,1951,0,0,1,0
"95",92,1951,0,0,1,0
"96",93,1951,0,0,1,0
"97",94,1951,0,0,1,0
"98",95,1951,2,0,1,0
"99",100,1951,0,0,1,0
"100",101,1951,0,0,1,0
"101",130,1951,0,0,1,0
"102",135,1951,0,0,1,0
"103",140,1951,0,0,1,0
"104",145,1951,2,1,1,1
"105",150,1951,0,0,1,0
"106",155,1951,0,0,1,0
"107",160,1951,1,0,1,0
"108",165,1951,0,0,1,0
"109",200,1951,0,0,1,0
"110",205,1951,0,0,1,0
"111",210,1951,0,0,1,0
"112",211,1951,0,0,1,0
"113",212,1951,0,0,1,0
"114",220,1951,0,0,1,0
"115",221,1951,0,0,1,0
"116",223,1951,0,0,1,0
"117",225,1951,0,0,1,0
"118",230,1951,0,0,1,0
"119",232,1951,0,0,1,0
"120",235,1951,0,0,1,0
"121",260,1951,0,0,1,0
"122",265,1951,0,0,1,0
"123",290,1951,0,0,1,0
"124",305,1951,0,0,1,0
"125",310,1951,0,0,1,0
"126",315,1951,0,0,1,0
"127",325,1951,0,0,1,0
"128",331,1951,0,0,1,0
"129",339,1951,0,0,1,0
"130",345,1951,0,0,1,0
"131",350,1951,0,0,1,0
