obsid,leadid,ccode,idacr,country,continent,leader,startdate,enddate,entry,exit,exitcode,gender,yrborn
USA-1933,81dd53f3-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,"Roosevelt, F.",1933-03-04,1945-04-12,Regular,Natural Death,Regular,M,1882
USA-1945,81dd53f4-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Truman,1945-04-12,1953-01-20,Regular,Regular,Regular,M,1884
USA-1953,81dd53f5-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Eisenhower,1953-01-20,1961-01-20,Regular,Regular,Regular,M,1890
USA-1961,81dd53f6-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Kennedy,1961-01-20,1963-11-22,Regular,Irregular,Assassination by Unsupported Individual,M,1917
USA-1963,81dd84c6-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Johnson,1963-11-22,1969-01-20,Regular,Regular,Regular,M,1908
USA-1969,81dd84c7-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Nixon,1969-01-20,1974-08-09,Regular,Regular,Regular,M,1913
USA-1974,81dd84c8-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Ford,1974-08-09,1977-01-20,Regular,Regular,Regular,M,1913
USA-1977,81dd84c9-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Carter,1977-01-20,1981-01-20,Regular,Regular,Regular,M,1924
USA-1981,81dd84ca-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Reagan,1981-01-20,1989-01-20,Regular,Regular,Regular,M,1911
USA-1989,81ddb59a-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,G.H.W. Bush,1989-01-20,1993-01-20,Regular,Regular,Regular,M,1924
USA-1993,81ddb59b-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Clinton,1993-01-20,2001-01-20,Regular,Regular,Regular,M,1946
USA-2001,81ddb59c-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,G.W. Bush,2001-01-21,2009-01-20,Regular,Regular,Regular,M,1946
USA-2009,824fc72f-1e42-11e4-b4cd-db5882bf8def,2,USA,United States of America,Americas,Obama,2009-01-20,2017-01-20,Regular,Regular,Regular,M,1961
USA_2017_1,NA,2,USA,United States of America,Americas,Trump,2017-01-20,2021-01-20,Regular,Regular,Regular,M,1946
USA_2021_1,NA,2,USA,United States of America,Americas,Joe Biden,2021-01-20,2024-07-31,Regular,Still in Office,Still in Office,M,1942
CAN-1935,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,King,1935-10-23,1948-11-15,Regular,Retired Due to Ill Health,Regular,M,1874
CAN-1948,81de78f4-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,St. Laurent,1948-11-15,1957-06-21,Regular,Regular,Regular,M,1882
CAN-1957,81de78f5-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Diefenbaker,1957-06-21,1963-04-22,Regular,Regular,Regular,M,1895
CAN-1963,81de78f6-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Pearson,1963-04-22,1968-04-20,Regular,Regular,Regular,M,1897
CAN-1968,81de78f7-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Pierre Trudeau,1968-04-20,1979-06-04,Regular,Regular,Regular,M,1919
CAN-1979,81de78f8-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Clark,1979-06-04,1980-03-03,Regular,Regular,Regular,M,1939
CAN-1980,81de78f7-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Pierre Trudeau,1980-03-03,1984-06-30,Regular,Regular,Regular,M,1919
CAN-1984-1,81de78f9-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Turner,1984-06-30,1984-09-17,Regular,Regular,Regular,M,1929
CAN-1984-2,81dea9c8-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Mulroney,1984-09-17,1993-06-25,Regular,Regular,Regular,M,1939
CAN-1993-1,81dea9c9-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Kim Campbell,1993-06-25,1993-11-04,Regular,Regular,Regular,F,1947
CAN-1993-2,81dea9ca-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Chretien,1993-11-04,2003-12-12,Regular,Regular,Regular,M,1939
CAN-2003,81dea9cb-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Paul Martin,2003-12-12,2006-02-06,Regular,Regular,Regular,M,1938
CAN-2006,824ff7fe-1e42-11e4-b4cd-db5882bf8def,20,CAN,Canada,Americas,Harper,2006-02-06,2015-11-04,Regular,Regular,Regular,M,1959
CAN-2015,0edc7676-df39-11e5-ba44-bb6d7c1a9a58,20,CAN,Canada,Americas,Justin Trudeau,2015-11-04,2024-07-31,Regular,Still in Office,Still in Office,M,1971
BHM-1967,81dea9cc-1e42-11e4-b4cd-db5882bf8def,31,BHM,Bahamas,Americas,Pindling,1967-01-16,1992-08-21,Regular,Regular,Regular,M,1930
BHM-1992,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,31,BHM,Bahamas,Americas,Ingraham,1992-08-21,2002-05-03,Regular,Regular,Regular,M,1947
BHM-2002,81deda9d-1e42-11e4-b4cd-db5882bf8def,31,BHM,Bahamas,Americas,Christie,2002-05-03,2005-05-04,Regular,Regular,Regular,M,1943
BHM-2005-1,824ff7ff-1e42-11e4-b4cd-db5882bf8def,31,BHM,Bahamas,Americas,Cynthia A. Pratt,2005-05-04,2005-06-22,Regular,Regular,Regular,F,1943
BHM-2005-2,81deda9d-1e42-11e4-b4cd-db5882bf8def,31,BHM,Bahamas,Americas,Christie,2005-06-22,2007-05-04,Regular,Regular,Regular,M,1943
BHM-2007,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,31,BHM,Bahamas,Americas,Ingraham,2007-05-04,2012-05-08,Regular,Regular,Regular,M,1947
