country,continent,idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn,birthdate
Afghanistan,Asia,AFG,Najibullah,AFG_1986_1,8243611b-1e42-11e4-b4cd-db5882bf8def,1986-05-04,1992-04-16,Irregular,Irregular,M,1947,1947-08-06
Afghanistan,Asia,AFG,Mojadidi,AFG_1992_1,8243611c-1e42-11e4-b4cd-db5882bf8def,1992-04-28,1992-06-28,Irregular,Regular,M,1926,NA
Afghanistan,Asia,AFG,Burhanuddin Rabbani,AFG_1992_2,8243611d-1e42-11e4-b4cd-db5882bf8def,1992-06-28,1996-09-27,Regular,Irregular,M,1939,NA
Afghanistan,Asia,AFG,Mullah Omar,AFG_1996_1,8243611e-1e42-11e4-b4cd-db5882bf8def,1996-09-27,2001-11-13,Irregular,Irregular,M,1959,NA
Afghanistan,Asia,AFG,Hamid Karzai,AFG_2001_1,8243611f-1e42-11e4-b4cd-db5882bf8def,2001-12-22,2014-09-29,Foreign Imposition,Regular,M,1957,1957-12-24
Afghanistan,Asia,AFG,Ashraf Ghani Ahmadzai,AFG_2014_1,14a038b0-aae0-11e4-b3bc-29f2fa19767e,2014-09-29,2021-08-14,Regular,Irregular,M,1949,1949-05-19
Afghanistan,Asia,AFG,Hibatullah Akhundzada,AFG_2021_1,.,2021-08-14,2024-09-25,Irregular,Still in Office,M,NA,NA
Albania,Europe,ALB,Alia,ALB_1985_1,821a8f09-1e42-11e4-b4cd-db5882bf8def,1985-04-13,1992-04-03,Regular,Regular,M,1925,1925-10-18
Albania,Europe,ALB,Berisha,ALB_1992_1,35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,1992-04-09,1997-07-24,Regular,Regular,M,1944,1944-10-15
Albania,Europe,ALB,Fatos Nano,ALB_1997_1,821abfda-1e42-11e4-b4cd-db5882bf8def,1997-07-24,1998-10-02,Regular,Regular,M,1952,1952-09-16
Albania,Europe,ALB,Majko,ALB_1998_1,821abfdb-1e42-11e4-b4cd-db5882bf8def,1998-10-02,1999-10-29,Regular,Regular,M,1967,1967-11-15
Albania,Europe,ALB,Meta,ALB_1999_1,821abfdc-1e42-11e4-b4cd-db5882bf8def,1999-10-29,2002-02-22,Regular,Regular,M,1969,NA
Albania,Europe,ALB,Majko,ALB_2002_1,821abfdb-1e42-11e4-b4cd-db5882bf8def,2002-02-22,2002-07-31,Regular,Regular,M,1967,1967-11-15
Albania,Europe,ALB,Fatos Nano,ALB_2002_2,821abfda-1e42-11e4-b4cd-db5882bf8def,2002-07-31,2005-09-11,Regular,Regular,M,1952,1952-09-16
Albania,Europe,ALB,Berisha,ALB_2005_1,35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7,2005-09-11,2013-09-15,Regular,Regular,M,1944,1944-10-15
